;wheat_mass;Longitude;Latitude;wheat_mass_categorical
192;7772.4;5.586039860162615;48.77632677455836;7000-8000
193;7833.7;5.586030866942321;48.77633625701303;7000-8000
194;8107.4;5.586021873722028;48.77634562093525;8000-9000
195;7600.8;5.586012520772921;48.77635498485573;7000-8000
196;7830.6;5.586003167823816;48.77636434877446;7000-8000
197;7964.7;5.58599381487471;48.77637371269143;7000-8000
198;7540.2;5.585984821654416;48.77638319513723;7000-8000
199;7477.0;5.58597546870531;48.77639255905069;7000-8000
200;8028.1;5.585966295620611;48.776401922962414;8000-9000
201;7745.5;5.585957122535911;48.77641128687238;7000-8000
202;7720.8;5.585948489044428;48.77642088784155;7000-8000
203;7681.3;5.58593967568854;48.77643048880888;7000-8000
204;7527.9;5.585930502603841;48.776440089774376;7000-8000
205;7277.9;5.585921689247953;48.776449572207646;7000-8000
206;7568.7;5.585912696027658;48.776458936108725;7000-8000
207;7988.4;5.58590388267177;48.77646865559914;7000-8000
208;7651.9;5.5858945297226645;48.776478138027;7000-8000
209;7862.7;5.585885536502371;48.77648726486212;7000-8000
210;7660.9;5.585876903010889;48.77649639169559;7000-8000
211;8064.8;5.585868269519407;48.77650528146685;8000-9000
212;7674.9;5.585859096434708;48.77651440829704;7000-8000
213;7541.3;5.585849743485602;48.77652329806511;7000-8000
214;7467.7;5.585840570400901;48.7765321878316;7000-8000
215;7231.7;5.585831397316201;48.776541314656896;7000-8000
216;7160.4;5.585822583960312;48.77655032295038;7000-8000
217;6850.7;5.58581359074002;48.77655944977238;< 7000
218;7061.6;5.585804777384131;48.77656857659272;7000-8000
219;7149.3;5.585795604299431;48.7765775848813;7000-8000
220;6448.4;5.585786611079137;48.77658659316826;< 7000
221;6419.5;5.585777977587656;48.77659583851372;< 7000
222;6668.8;5.585769344096174;48.77660508385748;< 7000
223;6815.9;5.585760171011474;48.77661421066952;< 7000
224;6777.0;5.585750818062368;48.776623100419926;< 7000
225;7030.7;5.585741644977667;48.77663210869872;7000-8000
226;7713.0;5.5857330114861865;48.7766413540358;7000-8000
227;7209.1;5.585724377994704;48.77665059937119;7000-8000
228;8078.0;5.585715924367626;48.77665984470486;8000-9000
229;7304.2;5.585707470740551;48.77666932709662;7000-8000
230;7012.1;5.58569919697788;48.77667869095671;7000-8000
231;7696.6;5.585690563486399;48.776687817755366;7000-8000
232;8020.7;5.585681750130511;48.77669706308219;8000-9000
233;7368.8;5.585673656232246;48.77670642693711;7000-8000
234;7411.0;5.585665202605169;48.77671579079028;7000-8000
235;7952.7;5.585656928842499;48.77672515464171;7000-8000
236;7499.2;5.585648475215423;48.77673451849139;7000-8000
237;7291.4;5.585640381317158;48.77674388233932;7000-8000
238;7282.9;5.5856322874188935;48.7767532461855;7000-8000
239;7493.0;5.585623833791817;48.77676296561894;7000-8000
240;7212.4;5.585615380164741;48.77677256652085;7000-8000
241;6854.4;5.585606566808852;48.776782167420926;< 7000
242;6734.7;5.585598113181776;48.776791649789565;< 7000
243;6587.0;5.5855901991479175;48.77680136921556;< 7000
244;6228.5;5.585582105249653;48.77681085158057;< 7000
247;6215.6;5.585557463826048;48.77683965425332;< 7000
250;6255.2;5.585533002266849;48.776868338380126;< 7000
251;6604.9;5.585524908368583;48.77687805779127;< 7000
252;6680.8;5.585516814470319;48.77688777720054;< 7000
253;6581.1;5.585508540707649;48.77689725954924;< 7000
254;6087.2;5.585500087080573;48.77690674189614;< 7000
255;6050.5;5.585491813317902;48.77691622424124;< 7000
256;6473.7;5.585483539555232;48.77692594364312;< 7000
257;6259.8;5.585475445656967;48.77693566304312;< 7000
258;6295.1;5.585467531623109;48.776945382441234;< 7000
259;6629.1;5.585459617589249;48.77695498330826;< 7000
260;7571.7;5.585451883419797;48.77696458417344;7000-8000
261;7160.5;5.585443789521531;48.77697442209512;7000-8000
262;6766.7;5.585435515758863;48.77698426001488;< 7000
263;7005.0;5.585427421860597;48.77699397940359;7000-8000
264;6927.2;5.585419507826739;48.77700346173222;< 7000
265;7197.3;5.585411054199662;48.7770131811172;7000-8000
266;7195.5;5.58540242070818;48.77702254491315;7000-8000
267;7520.9;5.585394146945509;48.77703238282348;7000-8000
268;7314.6;5.585385693318433;48.77704186514485;7000-8000
269;7143.6;5.585377959148981;48.77705182158038;7000-8000
270;7224.9;5.585370045115122;48.77706165948496;7000-8000
271;7101.2;5.585362310945669;48.77707149738761;7000-8000
272;7653.2;5.585354756640621;48.77708145381725;7000-8000
273;7255.8;5.585347382199981;48.77709141024492;7000-8000
274;7083.3;5.585340187623745;48.77710160372833;7000-8000
275;6657.9;5.585333172911917;48.777111797209685;< 7000
276;7036.5;5.585325978335681;48.77712187216015;7000-8000
277;7216.5;5.585318783759446;48.7771319471086;7000-8000
278;7745.5;5.585311589183212;48.77714202205502;7000-8000
279;7613.2;5.58530421474257;48.77715197847067;7000-8000
280;8269.3;5.585297020166336;48.777161934884354;8000-9000
281;8155.8;5.585289465861289;48.77717177276735;8000-9000
282;8027.8;5.585281731691835;48.77718196623447;8000-9000
283;7584.6;5.585273098200353;48.7771923967568;7000-8000
284;8583.2;5.585264284844465;48.777202827276966;8000-9000
285;7806.7;5.585255111759765;48.77721313926636;7000-8000
286;7906.0;5.585245938675065;48.777223332725065;7000-8000
287;7804.9;5.585236405861554;48.77723328912459;7000-8000
288;8347.0;5.585227232776854;48.777243601107735;8000-9000
289;7776.6;5.585218059692155;48.77725391308876;7000-8000
290;7760.5;5.585209426200672;48.77726410653919;7000-8000
291;7390.2;5.585200972573595;48.77727418145908;7000-8000
292;7521.2;5.585192878675331;48.777283900791645;7000-8000
293;7267.8;5.585184604912661;48.77729350159392;7000-8000
294;6944.1;5.58517633114999;48.777303457979535;< 7000
295;7293.3;5.585168776844943;48.77731341436317;7000-8000
296;7405.8;5.585162121861925;48.77732325221649;7000-8000
