;Région;Occupé;Larg.;Durée;Distance;Humidité;Mass_Yield;Flux_Blé_d;Productivi;Util._carb;Vites.;Direction;Header_Off;Rdmt_masse;Rdmt_humid;Rdmt_sec;Flux;Flux2;Altitude;Datage;Flux3;Flux4;Flux5;Flux6;Flux7;Flux8;Flux9;Flux:;"Flux;";Flux<;Flux=;Flux>;Longitude;Latitude
574;Boulinsard - 23/07/2021;T;9.15;1.0;1.07;12.8;762.0;0.8;3.6;67.9;3.7;59.3;0.0;816.8;816.8;712.2;2880.0;2511.1;259.56;1627044680.0;;;;;;;;;;;;;5.586664529244233;48.77904105407893
575;Boulinsard - 23/07/2021;T;9.15;1.0;0.67;12.8;762.0;0.0;3.6;63.2;2.2;58.4;0.0;0.0;0.0;0.0;0.0;0.0;259.64;1627044681.0;;;;;;;;;;;;;5.586672263413686;48.779044135710265
576;Boulinsard - 23/07/2021;T;9.15;1.0;0.6;12.9;762.0;0.0;3.6;63.7;2.3;60.2;0.0;0.0;0.0;0.0;0.0;0.0;259.61;1627044682.0;;;;;;;;;;;;;5.586679278125515;48.779046861768585
577;Boulinsard - 23/07/2021;T;9.15;1.0;0.13;12.9;762.0;0.0;3.6;53.9;0.8;61.8;0.0;0.0;0.0;0.0;0.0;0.0;259.6;1627044683.0;;;;;;;;;;;;;5.586680717040762;48.77904733586568
578;Boulinsard - 23/07/2021;T;1.98;1.0;0.53;13.0;0.0;0.0;3.6;51.9;1.7;107.0;3.7;0.0;0.0;0.0;0.0;0.0;259.37;1627044773.0;;;;;;;;;;;;;5.5866395280918155;48.779009763657804
579;Boulinsard - 23/07/2021;T;2.43;1.0;0.64;13.0;0.0;0.0;3.6;54.0;2.1;118.8;3.5;0.0;0.0;0.0;0.0;0.0;259.41;1627044774.0;;;;;;;;;;;;;5.586647262261269;48.77900703759747
580;Boulinsard - 23/07/2021;T;3.04;1.0;0.71;13.0;0.0;0.0;3.6;55.0;2.3;119.6;3.2;0.0;0.0;0.0;0.0;0.0;259.44;1627044775.0;;;;;;;;;;;;;5.5866557158883445;48.77900383743949
581;Boulinsard - 23/07/2021;T;3.96;1.0;0.79;13.0;0.0;0.0;3.6;54.3;2.5;129.3;2.7;0.0;0.0;0.0;0.0;0.0;259.47;1627044776.0;;;;;;;;;;;;;5.586663989651016;48.778999452037475
582;Boulinsard - 23/07/2021;T;4.73;1.0;0.65;13.0;0.0;0.0;3.6;46.1;2.0;134.3;2.3;0.0;0.0;0.0;0.0;0.0;259.48;1627044777.0;;;;;;;;;;;;;5.586670284905221;48.77899530368387
583;Boulinsard - 23/07/2021;T;5.03;1.0;0.25;13.0;0.0;0.0;3.6;48.3;0.5;144.3;2.2;0.0;0.0;0.0;0.0;0.0;259.52;1627044778.0;;;;;;;;;;;;;5.586672263413686;48.778993525817945
